classifier,metric,n_datasets,method_a,method_b,wilcoxon_statistic,raw_p_value,holm_p_value,significant_after_holm
logistic_regression,macro_f1,13,base,ubag,24.0,0.26611328125,1.0,False
logistic_regression,macro_f1,13,base,obag,36.0,0.85009765625,1.0,False
logistic_regression,macro_f1,13,base,sbag,34.0,0.7333984375,1.0,False
logistic_regression,macro_f1,13,base,cost,13.0,0.021484375,0.7138671875,False
logistic_regression,macro_f1,13,rus,enn,11.0,0.02685546875,0.8056640625,False
logistic_regression,macro_f1,13,rus,tomek,8.0,0.01220703125,0.47607421875,False
logistic_regression,macro_f1,13,rus,smote,2.0,0.00146484375,0.06005859375,False
logistic_regression,macro_f1,13,rus,spe,8.0,0.01220703125,0.47607421875,False
logistic_regression,macro_f1,13,rus,ubag,22.0,0.20361328125,1.0,False
logistic_regression,macro_f1,13,rus,obag,0.0,0.00048828125,0.02197265625,True
logistic_regression,macro_f1,13,rus,sbag,1.0,0.0009765625,0.04296875,True
logistic_regression,macro_f1,13,rus,cost,37.0,0.587890625,1.0,False
logistic_regression,macro_f1,13,enn,tomek,38.0,0.9697265625,1.0,False
logistic_regression,macro_f1,13,enn,smote,21.0,0.17626953125,1.0,False
logistic_regression,macro_f1,13,enn,spe,26.0,0.33935546875,1.0,False
logistic_regression,macro_f1,13,enn,ubag,15.0,0.06396484375,1.0,False
logistic_regression,macro_f1,13,enn,obag,24.0,0.26611328125,1.0,False
logistic_regression,macro_f1,13,enn,sbag,22.0,0.20361328125,1.0,False
logistic_regression,macro_f1,13,enn,cost,11.0,0.013427734375,0.496826171875,False
logistic_regression,macro_f1,13,tomek,smote,24.0,0.26611328125,1.0,False
logistic_regression,macro_f1,13,tomek,spe,28.0,0.423828125,1.0,False
logistic_regression,macro_f1,13,tomek,ubag,20.0,0.1513671875,1.0,False
logistic_regression,macro_f1,13,tomek,obag,25.0,0.30126953125,1.0,False
logistic_regression,macro_f1,13,tomek,sbag,21.0,0.17626953125,1.0,False
logistic_regression,macro_f1,13,tomek,cost,4.0,0.001708984375,0.068359375,False
logistic_regression,macro_f1,13,smote,spe,27.0,0.38037109375,1.0,False
logistic_regression,macro_f1,13,smote,ubag,17.0,0.09228515625,1.0,False
logistic_regression,macro_f1,13,smote,obag,39.0,1.0,1.0,False
logistic_regression,macro_f1,13,smote,sbag,34.0,0.7333984375,1.0,False
logistic_regression,macro_f1,13,smote,cost,13.0,0.021484375,0.7138671875,False
logistic_regression,macro_f1,13,spe,ubag,10.0,0.02099609375,0.7138671875,False
logistic_regression,macro_f1,13,spe,obag,30.0,0.5185546875,1.0,False
logistic_regression,macro_f1,13,spe,sbag,26.0,0.33935546875,1.0,False
logistic_regression,macro_f1,13,spe,cost,11.0,0.013427734375,0.496826171875,False
logistic_regression,macro_f1,13,ubag,obag,1.0,0.0009765625,0.04296875,True
logistic_regression,macro_f1,13,ubag,sbag,1.0,0.0009765625,0.04296875,True
logistic_regression,macro_f1,13,ubag,cost,26.0,0.19091796875,1.0,False
logistic_regression,macro_f1,13,obag,sbag,27.0,0.6376953125,1.0,False
logistic_regression,macro_f1,13,obag,cost,11.0,0.013427734375,0.496826171875,False
logistic_regression,macro_f1,13,sbag,cost,13.0,0.021484375,0.7138671875,False
logistic_regression,balanced_accuracy,13,base,rus,3.0,0.00244140625,0.08056640625,False
logistic_regression,balanced_accuracy,13,base,enn,1.0,0.0009765625,0.04296875,True
logistic_regression,balanced_accuracy,13,base,tomek,7.0,0.0185546875,0.4267578125,False
logistic_regression,balanced_accuracy,13,base,smote,1.0,0.0009765625,0.04296875,True
logistic_regression,balanced_accuracy,13,base,spe,8.0,0.01220703125,0.32958984375,False
logistic_regression,balanced_accuracy,13,base,ubag,4.0,0.00341796875,0.1025390625,False
logistic_regression,balanced_accuracy,13,base,obag,2.0,0.00146484375,0.05859375,False
logistic_regression,balanced_accuracy,13,base,sbag,4.0,0.00341796875,0.1025390625,False
logistic_regression,balanced_accuracy,13,base,cost,40.0,0.7353515625,1.0,False
