dataset,method,method_family,base_classifier,ensemble_size,tuning_mode,metric,mean_value,std_value,n_folds,mean_fit_seconds
SPECTF,smote,resampling,logistic_regression,10,library_defaults,balanced_accuracy,0.7930030959752322,0.07567397094115948,5,0.04820966720581052
SPECTF,smote,resampling,logistic_regression,10,library_defaults,macro_f1,0.7650891881421572,0.06165327900289836,5,0.04820966720581052
SPECTF,spe,ensemble,decision_tree,10,library_defaults,auprc,0.843386889150047,0.10685916692717994,5,0.08856434822082514
SPECTF,spe,ensemble,decision_tree,10,library_defaults,balanced_accuracy,0.8888648090815273,0.051999538727055025,5,0.08856434822082514
SPECTF,spe,ensemble,decision_tree,10,library_defaults,macro_f1,0.882704218923305,0.05225522390328992,5,0.08856434822082514
SPECTF,spe,ensemble,logistic_regression,10,library_defaults,auprc,0.7535049534331678,0.10052013085311796,5,0.14537639617919917
SPECTF,spe,ensemble,logistic_regression,10,library_defaults,balanced_accuracy,0.7829927760577915,0.06185059805385472,5,0.14537639617919917
SPECTF,spe,ensemble,logistic_regression,10,library_defaults,macro_f1,0.7716764434440786,0.05422350522123209,5,0.14537639617919917
SPECTF,tomek,resampling,decision_tree,10,library_defaults,auprc,0.623923553944149,0.043417448156356966,5,0.0249135017395019
SPECTF,tomek,resampling,decision_tree,10,library_defaults,balanced_accuracy,0.8468482972136222,0.025698481783798,5,0.0249135017395019
SPECTF,tomek,resampling,decision_tree,10,library_defaults,macro_f1,0.8259155521989733,0.026027613551448246,5,0.0249135017395019
SPECTF,tomek,resampling,logistic_regression,10,library_defaults,auprc,0.7470044093344073,0.1060277134044682,5,0.0374266624450683
SPECTF,tomek,resampling,logistic_regression,10,library_defaults,balanced_accuracy,0.7561114551083591,0.06178500976310414,5,0.0374266624450683
SPECTF,tomek,resampling,logistic_regression,10,library_defaults,macro_f1,0.7569969613678638,0.06160874569905622,5,0.0374266624450683
SPECTF,ubag,ensemble,decision_tree,10,library_defaults,auprc,0.7998725868156085,0.09986788127108161,5,0.08344626426696772
SPECTF,ubag,ensemble,decision_tree,10,library_defaults,balanced_accuracy,0.8606769865841073,0.07836803618327653,5,0.08344626426696772
SPECTF,ubag,ensemble,decision_tree,10,library_defaults,macro_f1,0.8333551020615261,0.0663342562812159,5,0.08344626426696772
SPECTF,ubag,ensemble,logistic_regression,10,library_defaults,auprc,0.7509431482879092,0.11429277057930252,5,0.13714618682861324
SPECTF,ubag,ensemble,logistic_regression,10,library_defaults,balanced_accuracy,0.8088173374613004,0.06650934736357467,5,0.13714618682861324
SPECTF,ubag,ensemble,logistic_regression,10,library_defaults,macro_f1,0.7677521101104279,0.06299657080153456,5,0.13714618682861324
adult,base,baseline,decision_tree,10,library_defaults,auprc,0.4433408647645402,0.008641824794476984,5,1.0623225212097167
